index,Date,cp,price_market,a,pred_s3,ProductID,Demand_Priority,Profitability_Priority
0,2024-01-06,5.528104691935328,1.4600608874651604,1.1521525988296586,1.1350513928283772,1,10.0,8.0
1,2024-01-07,2.8003144167344467,-8.749512934180188,0.3476088371823088,0.34539919591843904,1,10.0,10.0
2,2024-01-08,3.957475968211479,-1.4361840283289051,0.8045062467310707,0.8291028919249829,1,10.0,10.0
3,2024-01-09,6.481786398402916,-17.234031522244265,0.2541374629485081,0.30087333513777326,1,10.0,7.0
4,2024-01-10,5.735115980299935,11.252314510271876,1.627173203283897,1.6446666598805342,1,10.0,8.0
5,2024-01-11,0.0454442402471779,-11.020576556067477,-0.1240564606904715,-0.05115444158615401,1,10.0,10.0
6,2024-01-12,3.9001768350511785,-6.043833394284505,0.6683489627058048,0.5934329313275077,1,10.0,9.0
7,2024-01-13,1.697285583404604,5.521650792609744,0.9740216299906884,0.9436532703705577,1,9.0,10.0
8,2024-01-14,1.7935622964128843,-2.395629963913133,0.5544528797349677,0.5587292886437142,1,10.0,10.0
9,2024-01-15,2.821197003876745,20.43014595406736,1.7726367593496757,1.8026988840424112,1,9.0,9.0
10,2024-01-16,2.288087142321756,-7.928569097234487,0.3288632783625641,0.3336634375789882,1,10.0,10.0
11,2024-01-17,4.908547013925951,7.670508693491829,1.4142698831803286,1.381045912976061,1,10.0,8.0
12,2024-01-18,3.522075450293987,4.607171817725044,1.1331385304765982,1.085702653796705,1,10.0,10.0
13,2024-01-19,2.243350032985657,-6.680934977411974,0.3451037079246798,0.39128078770899394,1,10.0,10.0
14,2024-01-20,2.8877264654908514,10.232766605317536,1.2517345388062793,1.3010102307473692,1,10.0,10.0
15,2024-01-21,2.6673486547485337,3.284536687777519,1.034873198004143,0.9318482295277485,1,10.0,9.0
16,2024-01-22,4.988158146315213,12.717905512136674,1.6915407331241397,1.6409399826371445,1,9.0,10.0
17,2024-01-23,1.589683472468398,13.235041539637317,1.356146421270106,1.3172448648834854,1,10.0,9.0
18,2024-01-24,2.6261354033018027,26.6323594928069,2.087299202784657,2.0919360615280493,1,9.0,10.0
19,2024-01-25,0.2918085213965504,18.36527949436392,1.49364584377099,1.43961557005674,1,10.0,10.0
